date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:47	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2004%20Aug%202020%2003:52:46%20GMT	http://max-tysons-trendy-project.webflow.io/robots.txt		(from )
15:52:47	8497/8497	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2003:52:46%20GMT	http://max-tysons-trendy-project.webflow.io/	C:/My%20Web%20Sites/332/max-tysons-trendy-project.webflow.io/index.html	(from )
15:52:48	76033/76033	---M-Z	200	added ('OK')	text/css	etag:%22f5675336c8ed70a8ba8c236f2f6a9c54%22	https://uploads-ssl.webflow.com/5f265b390311fc930902d4f6/css/max-tysons-trendy-project.webflow.42809cc12.css	C:/My%20Web%20Sites/332/uploads-ssl.webflow.com/5f265b390311fc930902d4f6/css/max-tysons-trendy-project.webflow.42809cc12.css	(from http://max-tysons-trendy-project.webflow.io/)
15:52:49	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/332/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from http://max-tysons-trendy-project.webflow.io/)
15:52:49	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	C:/My%20Web%20Sites/332/uploads-ssl.webflow.com/img/webclip.png	(from http://max-tysons-trendy-project.webflow.io/)
15:52:50	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2004%20Aug%202020%2003:52:49%20GMT	http://max-tysons-trendy-project.webflow.io/about	C:/My%20Web%20Sites/332/max-tysons-trendy-project.webflow.io/about	(from http://max-tysons-trendy-project.webflow.io/)
15:52:50	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2004%20Aug%202020%2003:52:49%20GMT	http://max-tysons-trendy-project.webflow.io/projects	C:/My%20Web%20Sites/332/max-tysons-trendy-project.webflow.io/projects	(from http://max-tysons-trendy-project.webflow.io/)
15:52:51	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2004%20Aug%202020%2003:52:49%20GMT	http://max-tysons-trendy-project.webflow.io/blog	C:/My%20Web%20Sites/332/max-tysons-trendy-project.webflow.io/blog	(from http://max-tysons-trendy-project.webflow.io/)
15:52:52	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2004%20Aug%202020%2003:52:50%20GMT	http://max-tysons-trendy-project.webflow.io/contact	C:/My%20Web%20Sites/332/max-tysons-trendy-project.webflow.io/contact	(from http://max-tysons-trendy-project.webflow.io/)
15:52:52	178/178	---M--	200	added ('OK')	image/png	etag:%22cdf6e2f4f30b47cd9e1f7068bec9de18%22	https://uploads-ssl.webflow.com/5f265b390311fc930902d4f6/5f265b3a2027b923f0095123_menu-icon.png	C:/My%20Web%20Sites/332/uploads-ssl.webflow.com/5f265b390311fc930902d4f6/5f265b3a2027b923f0095123_menu-icon.png	(from http://max-tysons-trendy-project.webflow.io/)
15:52:52	800966/800966	---M--	200	added ('OK')	image/png	etag:%221caa0b2e1f3ca73d4ae71f8a618c90d7%22	https://uploads-ssl.webflow.com/5f265b390311fc930902d4f6/5f27a27cccdebb657270e3a0_Max%20Inc%20Logo%20(1).png	C:/My%20Web%20Sites/332/uploads-ssl.webflow.com/5f265b390311fc930902d4f6/5f27a27cccdebb657270e3a0_Max%20Inc%20Logo%20(1).png	(from http://max-tysons-trendy-project.webflow.io/)
15:52:55	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2004%20Aug%202020%2003:52:52%20GMT	http://max-tysons-trendy-project.webflow.io/post/10-quick-tips-about-blogging	C:/My%20Web%20Sites/332/max-tysons-trendy-project.webflow.io/post/10-quick-tips-about-blogging	(from http://max-tysons-trendy-project.webflow.io/)
15:52:55	68482/68482	---M--	200	added ('OK')	image/jpeg	etag:%2295b45e0455aca357eef92c65a057cf2c%22	https://uploads-ssl.webflow.com/5f265b390311fc930902d4f6/5f266b3d8a8b66a905d4941e_maxresdefault.jpg	C:/My%20Web%20Sites/332/uploads-ssl.webflow.com/5f265b390311fc930902d4f6/5f266b3d8a8b66a905d4941e_maxresdefault.jpg	(from http://max-tysons-trendy-project.webflow.io/)
15:52:56	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2004%20Aug%202020%2003:52:54%20GMT	http://max-tysons-trendy-project.webflow.io/post/15-best-blogs-to-follow-about-web-design	C:/My%20Web%20Sites/332/max-tysons-trendy-project.webflow.io/post/15-best-blogs-to-follow-about-web-design	(from http://max-tysons-trendy-project.webflow.io/)
