date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:51	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://98maxt98.wixsite.com/robots.txt		(from )
09:33:53	706321/706321	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Oct%202020%2020:33:52%20GMT	https://98maxt98.wixsite.com/website-3	C:/My%20Web%20Sites/Website-V6.0/98maxt98.wixsite.com/website-3.html	(from )
09:33:54	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Website-V6.0/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://98maxt98.wixsite.com/website-3)
09:33:54	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Website-V6.0/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://98maxt98.wixsite.com/website-3)
09:33:54	36299/36299	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2009%20Sep%202020%2023:11:05%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/Website-V6.0/polyfill.io/v3/polyfill.mind82c.js	(from https://98maxt98.wixsite.com/website-3)
09:33:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2001%20Oct%202020%2020:33:58%20GMT	https://98maxt98.wixsite.com/website-3/decodeURIComponent(e	C:/My%20Web%20Sites/Website-V6.0/98maxt98.wixsite.com/website-3/decodeURIComponent(e	(from https://98maxt98.wixsite.com/website-3)
09:33:55	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/My%20Web%20Sites/Website-V6.0/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://98maxt98.wixsite.com/website-3)
09:33:56	416568/416568	---M--	200	added ('OK')	image/png	etag:%2267f18ef1cef3afdd68201d0f44f5a2b2-1%22	https://static.parastorage.com//services/santa-resources/resources/viewer/editorUI/fonts.v10.png	C:/My%20Web%20Sites/Website-V6.0/static.parastorage.com/services/santa-resources/resources/viewer/editorUI/fonts.v10.png	(from https://98maxt98.wixsite.com/website-3)
09:33:56	17847/17847	---MCZ	200	added ('OK')	application/json	date:Thu,%2001%20Oct%202020%2020:33:59%20GMT	https://98maxt98.wixsite.com/website-3/_api/v2/dynamicmodel	C:/My%20Web%20Sites/Website-V6.0/98maxt98.wixsite.com/website-3/_api/v2/dynamicmodel.json	(from https://98maxt98.wixsite.com/website-3)
09:33:57	2691592/2691592	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a88fa06008697c3a7ce73c474073d2d%22	https://static.parastorage.com/services/communities-blog-viewer-app/1.898.0/feed-page-viewer.bundle.min.js	C:/My%20Web%20Sites/Website-V6.0/static.parastorage.com/services/communities-blog-viewer-app/1.898.0/feed-page-viewer.bundle.min.js	(from https://98maxt98.wixsite.com/website-3)
